time_s,q1_master_rad,q1_slave_rad,e1_rad,q2_master_rad,q2_slave_rad,e2_rad,q3_master_rad,q3_slave_rad,e3_rad,q4_master_rad,q4_slave_rad,e4_rad,q5_master_rad,q5_slave_rad,e5_rad,q6_master_rad,q6_slave_rad,e6_rad
0.0,0.02649785009897281,0.042942572629167834,-0.016444722530195025,0.2922188570004614,0.3139456134625106,-0.02172675646204919,0.591978197109822,0.6185548505730595,-0.026576653463237454,0.8272808232704012,0.8537371559081273,-0.026456332637726065,1.074403684565277,1.0986200565925914,-0.024216372027314526,1.1807830532458026,1.1946863042147613,-0.013903250968958725
0.02,0.03497971843454592,0.046584769908299864,-0.011605051473753944,0.30342499671619416,0.3184909611686495,-0.015065964452455338,0.6039882375178988,0.6231045279516031,-0.01911629043370433,0.840810597342858,0.858767905992851,-0.01795730864999301,1.0826499334153041,1.1020014447041695,-0.019351511288865364,1.179490080051991,1.1944610150655153,-0.014970935013524311
0.04,0.04345806530313806,0.050165274106471945,-0.006707208803333885,0.31455845927543213,0.3226588578410189,-0.008100398565586753,0.6157946434238252,0.6267912105375782,-0.010996567113753075,0.8539656000952556,0.8636736464018169,-0.009708046306561302,1.0902706140321332,1.1046835228632352,-0.014412908831102023,1.177325981804185,1.1939781828678562,-0.016652201063671157
0.06,0.051930636126415214,0.053949346460095464,-0.00201871033368025,0.325614868347859,0.32714185840370835,-0.001526990055849331,0.6273904833100127,0.6311012078715004,-0.0037107245614876883,0.8667347807018365,0.8685669089376271,-0.0018321282357905977,1.0972532809259263,1.1068486870783834,-0.00959540615245702,1.1742802319640668,1.1933585354258556,-0.019078303461788737
0.08,0.06039517850671758,0.05750087307418897,0.00289430543252861,0.33658987635253323,0.33176715904513915,0.0048227173073940865,0.6387689317605797,0.6353758480021462,0.0033930837584335016,0.8791073463040424,0.8735965411140743,0.00551080518996816,1.1035860537829094,1.1092335710298498,-0.005647517246940348,1.170343350119906,1.191938342826357,-0.021594992706450933
0.1,0.06884944328539623,0.06134287317458515,0.00750657011081108,0.3474791674751057,0.33645250191407605,0.011026665561029658,0.6499232764484213,0.6399529840270489,0.009970292421372373,0.8910727774512797,0.8781334008382227,0.012939376613056996,1.1092576442346873,1.1118629316701207,-0.0026052874354334232,1.165506943055259,1.1910642151452466,-0.025557272089987704
0.12,0.07729118559903113,0.0698808614444897,0.007410324154541431,0.35827846066286895,0.34776730829294067,0.010511152369928278,0.6608469250176329,0.6510528279945117,0.009794097023121173,0.902620843207183,0.8911073318628149,0.011513511344368177,1.1142573816761268,1.1179988850458022,-0.003741503369675492,1.159763743515455,1.188353637050437,-0.02858989353498198
0.14,0.0857181659328282,0.0784381665158951,0.007279999416933108,0.36898351259474277,0.35878531149826925,0.010198201096473514,0.6715334118519624,0.6620222864112544,0.00951112544070798,0.9137416158940262,0.9034529614411734,0.010288654452852874,1.1185752380689553,1.1235787911683417,-0.005003553099386382,1.1531076465450587,1.1837184940988648,-0.030610847553806053
0.16,0.09412815117049438,0.08681144896571412,0.007316702204780257,0.3795901206233205,0.3694264330528312,0.0101636875704893,0.6819764047201076,0.6726665263848238,0.009309878335283739,0.924425485448562,0.9149113292047387,0.009514156243823235,1.1222018516704797,1.128168737399029,-0.005966885728549309,1.145533743276282,1.178232292080524,-0.032698548804241945
0.18,0.1025189156398929,0.09552256980794888,0.006996345831944029,0.3900941256861327,0.38089441457489764,0.009199711111235076,0.692169711288846,0.6839681845298446,0.00820152675900132,0.9346631733632472,0.926509521807631,0.008153651555616204,1.1251285496292183,1.1322913448830478,-0.007162795253829568,1.13703835205549,1.1718355636741926,-0.03479721161870253
0.2,0.11088824215378369,0.1037222446428266,0.0071659975109570895,0.4004914151833111,0.39168140399328116,0.008810011190029943,0.7021072854951586,0.693919299889432,0.008187985605726533,0.9444457461875375,0.9378833556809865,0.006562390506551052,1.1273473693917904,1.1367978240581271,-0.00945045466633676,1.12761904680244,1.164602808093237,-0.036983761290796835
0.22,0.1192339230449577,0.11264391553486376,0.006590007510093934,0.41077792581887423,0.40254465794529537,0.008233267873578864,0.7117832337686993,0.7038306835444215,0.007952550224277877,0.9537646285647134,0.9479032739980231,0.005861354566690347,1.1288510788680794,1.1397002828270217,-0.010849203958942288,1.117274682504747,1.156218614034912,-0.038943931530164955
0.24,0.12755376119507802,0.1208585277226615,0.006695233472416531,0.42094964640288823,0.41228196701112035,0.00866767939176788,0.7211918210961644,0.7139710337460804,0.007220787350084024,0.9626116157805246,0.9578201333193165,0.004791482461208085,1.129633195304506,1.1421721745829359,-0.01253897927842984,1.1060054177582004,1.1469450104813015,-0.040939592723101104
0.26,0.13584557105654527,0.12978234861598906,0.00606322244055621,0.43100262061179945,0.4225377901730798,0.00846483043871965,0.7303274769193333,0.7240796839374307,0.006247792981902589,0.9709788858008027,0.9670247337805271,0.003954152020275603,1.1296880028181655,1.1439287099878042,-0.014240707169638656,1.0938127342719934,1.1359412806600224,-0.04212854638802899
0.28,0.14410717966671,0.13764874564957122,0.0064584340171387755,0.44093294970427643,0.4322202802864755,0.008712669417800911,0.7391848008587764,0.7336742964815879,0.005510504377188474,0.9788590107761176,0.9757804924749904,0.0030785183011271533,1.1290105685476628,1.144452944500185,-0.01544237595252218,1.0806994532665943,1.1249279046244247,-0.04422845135783038
0.3,0.15233642765376026,0.14579486082642099,0.006541566827339279,0.4507367951899436,0.4431086206187167,0.007628174571226887,0.7477585682554663,0.7428008882938899,0.004957679961576367,0.9862449679924944,0.9848517159418019,0.0013932520506925172,1.1275967573796126,1.1445916829915095,-0.01699492561189686,1.066669748700905,1.1129968457160409,-0.04632709701513593
0.32,0.16053117023361949,0.15403389692031946,0.006497273313300023,0.460410381448439,0.452756333590164,0.007654047858275004,0.75604373552278,0.7512834549930687,0.004760280529711336,0.9931301502482183,0.9926303599778543,0.0004997902703639534,1.125443245213057,1.1442568717997819,-0.01881362658672492,1.0517291572744587,1.100183082728345,-0.04845392545388627
0.34,0.16868927819719465,0.1628363342614862,0.0058529439357084545,0.4699499982962791,0.4621818564252407,0.007768141871038414,0.7640354453016382,0.7601573574707448,0.003878087830893495,0.999508375637775,1.0002477646105685,-0.0007393889727935754,1.1225475307273969,1.1424812076974427,-0.019933676970045777,1.0358845851596994,1.085981868916207,-0.05009728375650768
0.36,0.17680863888732457,0.17076069459419027,0.006047944293134294,0.47935200349906315,0.47137731161527674,0.007974691883786411,0.7717290314118024,0.7685157987190836,0.0032132326927187815,1.00537389672506,1.0077682527352343,-0.0023943560101742367,1.1189079456228934,1.1405576973243994,-0.02164975170150596,1.0191443114288021,1.071799760362778,-0.05265544893397589
0.38,0.1848871571647829,0.17856147064572817,0.006325686519054741,0.4886128252266133,0.4815214617828482,0.007091363443765097,0.7791200235926303,0.7765793491834976,0.0025406744091327482,1.010721409089085,1.0142388493627958,-0.0035174402737108146,1.1145236633062994,1.1372657141296079,-0.02274205082330849,1.0015179881490683,1.0562037353255354,-0.054685747176467014
0.4,0.19292275636270068,0.18700287707001487,0.005919879292685809,0.49772896444869974,0.49142793817730324,0.006301026271396504,0.786204152026886,0.7842665308361229,0.001937621190763128,1.01554605922655,1.0203263814098193,-0.004780322183269403,1.1093947059977853,1.1343703655603354,-0.0249756595625501,0.9830166371305377,1.0399178179920556,-0.056901180861517964
0.42,0.2009133792287808,0.19530456994986994,0.005608809278910859,0.506696997269061,0.5012750421709361,0.005421955098124931,0.7929773516414973,0.7914488590774363,0.001528492564060957,1.0198434517968227,1.0262592317574575,-0.006415779960634804,1.1035219502389741,1.12999685994639,-0.02647490970741595,0.9636526433191863,1.0228632952688148,-0.05921065194962849
0.44,0.20885698885468607,0.20397174131525583,0.004885247539430232,0.5155135771954996,0.5097116128262997,0.005801964369199886,0.7994357661794678,0.7985776572857525,0.0008581088937152925,1.023609656196059,1.0310171922518996,-0.007407536055840547,1.0969071307855902,1.1249892736812033,-0.02808214289561306,0.9434397448387861,1.004354950703376,-0.06091520586458987
0.46,0.21675156959199177,0.21179120895108097,0.004960360640910794,0.5241754373438907,0.5188163920622321,0.005359045281658648,0.8055757520374655,0.8055389623905896,3.678964687581221e-05,1.0268412124484154,1.0353395461748642,-0.008498333726448815,1.0895528428719903,1.119558972751698,-0.030006129879707633,0.922393019694251,0.9843957231102832,-0.0620027034160322
0.48,0.22459512795410436,0.21927753445675535,0.005317593497349005,0.5326793925740174,0.5276575658747807,0.005021826699236676,0.8113938818639429,0.8122829405094936,-0.0008890586455506666,1.0295351364035612,1.038414741687177,-0.008879605283615755,1.0814625428386049,1.1134846984630329,-0.032022155624428006,0.9005288691589847,0.9643513348464069,-0.06382246568742223
